trialNum,lVal,rVal,firstVal,secondVal,chosenVal,leftChosen,firstChosen,liftRT,reachRT,firstIsLeft,firstIsRight,secondIsLeft,secondIsRight,firstFixLat,secondFixLat,thirdFixLat,firstFixDur,secondFixDur,thirdFixDur
276,3,4,4,3,4,-0,1,0.847586967051029,0.156951317563653,0,1,1,0,0.161,0.429,0.681,0.22,0.2,0.468
279,5,4,4,5,4,-0,1,0.707355247810483,0.148753168061376,0,1,1,0,0.157,0.401,0.649,0.204,0.208,0.316
283,3,4,4,3,4,-0,1,1.10737458616495,0.177274651825428,0,1,1,0,0.206,0.438,0.718,0.188,0.24,0.888
287,2,4,4,2,4,-0,1,0.702296854928136,0.162366351112723,0,1,1,0,0.158,0.478,0.694,0.264,0.172,0.492
311,3,4,4,3,4,-0,1,0.807238984853029,0.166474554687738,0,1,1,0,0.153,0.433,0.689,0.236,0.208,0.712
319,4,1,4,1,1,-0,0,0.957294566556811,0.152626629918814,1,0,0,1,0.151,0.371,NaN,0.18,0.56,NaN
326,4,5,4,5,4,1,1,0.737139083445072,0.142090175300837,1,0,0,1,0.166,0.394,0.614,0.184,0.164,0.488
328,4,4,4,4,4,-0,1,0.797213170677423,0.140883378684521,0,1,1,0,0.139,0.467,0.691,0.268,0.184,0.456
338,4,3,4,3,3,-0,0,0.86366063170135,0.131564123556018,1,0,0,1,0.182,0.402,NaN,0.18,0.764,NaN
360,4,4,4,4,4,1,1,0.757286515086889,0.1690046004951,1,0,0,1,0.182,0.418,0.586,0.192,0.124,0.444
381,3,4,4,3,4,-0,1,0.867125608026981,0.156237740069628,0,1,1,0,0.147,0.391,0.659,0.184,0.228,0.796
387,4,2,4,2,4,1,1,0.75710735656321,0.166378583759069,1,0,0,1,0.191,0.407,0.643,0.172,0.18,0.252
404,4,3,4,3,4,1,1,0.656929103657603,0.159246720373631,1,0,0,1,0.155,0.387,0.595,0.196,0.164,0.308
405,4,5,4,5,5,-0,0,0.857200715690851,0.199238572269678,1,0,0,1,0.149,0.389,0.621,0.184,0.184,0.12
438,4,3,4,3,4,1,1,0.977131916210055,0.173861937597394,1,0,0,1,0.202,0.406,0.694,0.164,0.232,0.496
441,5,4,4,5,5,1,0,0.877138355746865,0.164346659556031,0,1,1,0,0.156,0.404,NaN,0.204,0.816,NaN
476,4,3,4,3,4,1,1,0.747099362313747,0.160842919722199,1,0,0,1,0.157,0.385,0.597,0.188,0.168,0.624
487,5,4,4,5,4,-0,1,0.87723415158689,0.174343766644597,0,1,1,0,0.163,0.403,0.799,0.204,0.356,0.704
495,2,4,4,2,4,-0,1,0.719603976234794,0.151576420292258,0,1,1,0,0.172,0.424,0.672,0.204,0.208,0.648
499,3,4,4,3,3,1,0,0.857309732586145,0.149726556614041,0,1,1,0,0.152,0.396,NaN,0.204,0.768,NaN
509,4,3,4,3,4,1,1,0.696835063397884,0.180985705927014,1,0,0,1,0.165,0.381,0.573,0.164,0.144,0.492
533,2,4,4,2,4,-0,1,0.957213614135981,0.130106741562486,0,1,1,0,0.13,0.426,0.798,0.252,0.336,0.684
556,4,4,4,4,4,-0,1,0.83717380836606,0.163594122976065,0,1,1,0,0.188,0.444,0.672,0.2,0.18,0.98
567,3,4,4,3,4,-0,1,0.847307065501809,0.151934498921037,0,1,1,0,0.169,0.417,0.685,0.204,0.232,0.64
573,3,4,4,3,4,-0,1,0.697248831391335,0.159370817244053,0,1,1,0,0.155,0.439,0.643,0.24,0.16,0.684
580,2,4,4,2,4,-0,1,0.7082853410393,0.166368119418621,0,1,1,0,0.242,0.546,NaN,0.264,0.144,NaN
601,1,4,4,1,4,-0,1,0.64954056032002,0.146629504859447,0,1,1,0,0.133,0.417,0.581,0.232,0.112,0.408
5,5,3,5,3,3,-0,0,0.807347510010004,0.162938987836242,1,0,0,1,0.181,0.389,NaN,0.16,0.816,NaN
11,1,5,5,1,5,-0,1,0.896991385146976,0.160866992548108,0,1,1,0,0.199,0.455,0.783,0.208,0.276,0.388
28,3,5,5,3,5,-0,1,0.707184495404363,0.138955706730485,0,1,1,0,0.157,0.421,0.625,0.216,0.148,0.648
62,1,5,5,1,5,-0,1,0.747183764353395,0.1412493288517,0,1,1,0,0.158,0.394,0.63,0.192,0.192,1.108
76,5,4,5,4,5,1,1,0.857101092115045,0.148870887234807,1,0,0,1,0.19,0.426,0.686,0.18,0.212,0.592
78,5,5,5,5,5,-0,1,0.906940475106239,0.139725677669048,0,1,1,0,0.166,0.386,0.75,0.18,0.308,0.96
106,5,1,5,1,5,1,1,0.74749687500298,0.140474760904908,1,0,0,1,0.181,0.389,0.601,0.148,0.164,0.792
115,5,3,5,3,5,1,1,0.727058677002788,0.144292062148452,1,0,0,1,0.163,0.395,0.571,0.184,0.12,0.528
116,5,2,5,2,5,1,1,0.703922467306256,0.152360334992409,1,0,0,1,0.16,0.4,0.588,0.188,0.14,0.592
129,5,1,5,1,5,1,1,0.897116422653198,0.141230566427112,1,0,0,1,0.259,0.515,0.691,0.216,0.132,0.888
147,5,3,5,3,5,1,1,0.815783267840743,0.150223774835467,1,0,0,1,0.154,0.382,0.63,0.188,0.208,0.62
154,5,3,5,3,5,1,1,0.857107693329453,0.139468759298325,1,0,0,1,0.201,0.437,0.689,0.2,0.2,0.548
181,2,5,5,2,5,-0,1,0.711861757561564,0.154126608744264,0,1,1,0,0.16,0.396,0.588,0.192,0.148,0.672
205,5,3,5,3,5,1,1,0.797252640128136,0.150256149470806,1,0,0,1,0.163,0.431,0.635,0.212,0.156,0.568
211,5,5,5,5,5,1,1,0.797390971332788,0.161734636873007,1,0,0,1,0.137,0.381,0.673,0.192,0.248,0.296
212,5,3,5,3,5,1,1,0.696552289649844,0.151223080232739,1,0,0,1,0.142,0.398,0.598,0.216,0.156,0.492
218,5,3,5,3,5,1,1,0.696995563805103,0.15198777988553,1,0,0,1,0.173,0.449,0.593,0.224,0.1,0.508
220,3,5,5,3,5,-0,1,0.707291917875409,0.147377178072929,0,1,1,0,0.116,0.424,0.6,0.248,0.136,0.824
237,1,5,5,1,5,-0,1,0.717021865770221,0.135865138843656,0,1,1,0,0.136,0.376,0.58,0.196,0.156,0.728
249,3,5,5,3,5,-0,1,0.94700183160603,0.143616028130054,0,1,1,0,0.164,0.404,0.716,0.188,0.272,0.916
350,5,2,5,2,5,1,1,0.787248086184263,0.153017528355122,1,0,0,1,0.187,0.419,0.619,0.192,0.156,0.572
353,1,5,5,1,5,-0,1,0.667005775496364,0.155764725059271,0,1,1,0,0.135,0.387,0.591,0.208,0.164,0.736
358,3,5,5,3,5,-0,1,0.777136068791151,0.134697875007987,0,1,1,0,0.217,0.481,0.661,0.204,0.136,0.408
379,4,5,5,4,5,-0,1,0.710494164377451,0.133981322869658,0,1,1,0,0.135,0.379,0.587,0.196,0.164,1.06
453,5,3,5,3,5,1,1,0.787223702296615,0.156983168795705,1,0,0,1,0.243,0.499,0.703,0.216,0.156,0.552
477,2,5,5,2,5,-0,1,0.747205564752221,0.149602197110653,0,1,1,0,0.151,0.403,0.611,0.208,0.164,0.672
478,5,3,5,3,5,1,1,0.737158237025142,0.162642082199454,1,0,0,1,0.16,0.348,0.592,0.144,0.2,0.472
489,1,5,5,1,5,-0,1,0.747223308309913,0.150723453611135,0,1,1,0,0.19,0.418,0.626,0.184,0.16,0.872
493,5,5,5,5,5,1,1,0.722985478118062,0.180658375844359,1,0,0,1,0.148,0.376,0.568,0.188,0.144,0.752
498,5,2,5,2,5,1,1,0.787845764309168,0.152476752176881,1,0,0,1,0.164,0.388,0.604,0.168,0.164,0.576
511,1,5,5,1,5,-0,1,0.79265633225441,0.145539103075862,0,1,1,0,0.207,0.443,0.667,0.192,0.18,0.568
514,5,3,5,3,5,1,1,0.747068651020527,0.169492810964584,1,0,0,1,0.172,0.408,0.612,0.196,0.16,0.676
522,2,5,5,2,5,-0,1,0.717045230790973,0.155895475298166,0,1,1,0,0.163,0.403,0.595,0.196,0.144,0.528
523,2,5,5,2,5,-0,1,0.71516882814467,0.149244299158454,0,1,1,0,0.169,0.481,0.613,0.252,0.084,0.568
524,3,5,5,3,5,-0,1,0.707332110032439,0.148870129138231,0,1,1,0,0.139,0.399,0.635,0.216,0.184,0.644
534,5,1,5,1,5,1,1,0.784620873630047,0.195670578628778,1,0,0,1,0.167,0.435,0.595,0.212,0.116,0.72
