trialNum,firstVal,secondVal,firstIsChosen,decisionRT,firstFixLat,secondFixLat,thirdFixLat
61,3,4,0,0.927218412980437,0.197,0.457,NaN
88,3,2,1,0.87754038721323,0.147,0.407,0.695
91,3,5,0,0.851581880822778,0.178,0.438,0.654
98,3,3,1,0.857173960655928,0.145,0.397,0.681
102,3,1,1,0.847799591720104,0.151,0.419,0.679
126,3,5,0,0.837206698954105,0.15,0.406,NaN
133,3,5,0,0.856989799067378,0.174,0.426,NaN
147,3,5,0,0.896775370463729,0.128,0.408,NaN
173,3,5,0,0.93705290928483,0.193,0.433,NaN
178,3,3,0,0.867106463760138,0.161,0.417,NaN
184,3,3,0,0.926942732185125,0.182,0.454,NaN
192,3,5,0,0.85715196095407,0.158,0.41,NaN
195,3,4,1,0.896991435438395,0.171,0.431,0.707
200,3,2,1,0.877370648086071,0.149,0.389,0.657
218,3,2,1,0.92722693271935,0.18,0.444,0.712
222,3,2,1,1.017164664343,0.14,0.4,0.792
235,3,5,0,0.87722821906209,0.154,0.434,NaN
246,3,4,0,0.796972138807178,0.15,0.358,NaN
283,3,5,0,0.787239316850901,0.147,0.419,NaN
284,3,5,0,0.866960627958179,0.157,0.405,NaN
291,3,5,0,0.847266968339682,0.168,0.432,NaN
305,3,4,0,0.846950471401215,0.149,0.401,NaN
328,3,4,0,0.867183914408088,0.162,0.394,NaN
336,3,1,1,0.837205884978175,0.146,0.394,0.666
351,3,3,0,0.896987667307258,0.166,0.422,NaN
358,3,3,1,0.892512507736683,0.182,0.426,0.714
362,3,2,1,1.17728295922279,0.275,0.639,0.943
369,3,2,1,0.936823448166251,0.156,0.392,0.72
385,3,4,0,0.946898551657796,0.175,0.431,0.807
420,3,1,1,0.94714972935617,0.233,0.501,0.761
432,3,3,0,1.01691237278283,0.209,0.533,NaN
450,3,3,0,0.906974021345377,0.145,0.405,NaN
469,3,4,1,0.987306652590632,0.145,0.553,0.817
473,3,4,1,1.10687344148755,0.143,0.407,0.835
476,3,4,0,0.827073747292161,0.174,0.442,NaN
479,3,5,0,0.786953436210752,0.168,0.4,NaN
484,3,2,1,0.897112689912319,0.223,0.491,0.755
504,3,3,1,0.937324926257133,0.132,0.384,0.672
506,3,2,1,0.92315305955708,0.11,0.474,0.758
508,3,5,0,0.817154852673411,0.133,0.377,NaN
511,3,3,1,1.02085137926042,0.15,0.442,0.882
515,3,1,1,0.997250374406576,0.234,0.482,0.786
518,3,1,1,0.976848969236016,0.228,0.488,0.76
543,3,5,0,0.817100768908858,0.161,0.429,NaN
545,3,5,0,0.757350251078606,0.151,0.423,NaN
553,3,1,1,0.838669499382377,0.163,0.415,0.679
558,3,1,1,1.00708677619696,0.125,0.413,0.801
588,3,5,0,0.727228716015816,0.161,0.393,NaN
589,3,3,1,0.88690865971148,0.128,0.4,0.696
594,3,3,0,0.837063577026129,0.161,0.413,NaN
9,3,3,1,0.767047354951501,0.179,0.411,0.631
41,3,4,1,0.787013344466686,0.179,0.431,0.675
42,3,3,1,0.757349852472544,0.15,0.39,0.606
46,3,5,0,0.967116663232446,0.26,0.512,NaN
67,3,3,0,0.757647464051843,0.183,0.439,NaN
96,3,5,0,0.907182067632675,0.235,0.499,NaN
99,3,3,1,0.807213271036744,0.164,0.436,0.66
106,3,3,0,0.987249981611967,0.21,0.474,NaN
108,3,5,0,0.829946173354983,0.145,0.381,0.669
119,3,2,1,0.926842026412487,0.169,0.433,0.693
155,3,3,1,0.867072815075517,0.181,0.453,0.677
169,3,5,0,0.877066703513265,0.146,0.418,NaN
175,3,2,1,0.817101931199431,0.154,0.41,0.634
205,3,4,1,0.856878476217389,0.146,0.406,0.678
219,3,1,1,0.907113615423441,0.172,0.46,0.708
225,3,3,1,0.687098311260343,0.159,0.375,0.599
226,3,2,1,0.737146027386189,0.165,0.441,0.665
264,3,4,0,1.05728822946548,0.232,0.532,NaN
278,3,4,1,0.886888409033418,0.176,0.48,0.748
282,3,5,1,0.88690566457808,0.231,0.511,0.731
296,3,5,0,0.847262756898999,0.156,0.416,NaN
299,3,1,1,0.802398785948753,0.146,0.406,0.654
310,3,1,1,0.747407278046012,0.136,0.38,0.628
311,3,3,1,1.26702576316893,0.18,0.416,0.808
317,3,4,1,0.769921783357859,0.158,0.406,0.674
321,3,4,1,0.906994499266148,0.147,0.407,0.767
326,3,2,1,0.887205405160785,0.163,0.455,0.719
331,3,3,1,0.787260990589857,0.157,0.409,0.621
334,3,2,1,0.97692883014679,0.169,0.429,0.669
337,3,3,1,0.877230577170849,0.145,0.437,0.745
